workload,query_id,access_latency_ms,baseline_latency_ms,prefetch_cost_ms,est_ttft_ms,reward,n_prefetched,n_useful
prefix,25,0.10218600800726563,0.30000000000000004,0.0,0.03781499981414527,0.19781399199273442,0,0
prefix,26,0.10145800479222089,0.30000000000000004,0.0,0.037730002077296376,0.19854199520777915,0,0
prefix,27,0.10150999878533185,0.30000000000000004,0.0,0.037411009543575346,0.1984900012146682,0,0
prefix,28,0.1393299753544852,0.30000000000000004,0.0,0.03954498970415443,0.16067002464551483,0,0
prefix,29,0.1042380026774481,0.30000000000000004,0.0,0.039866004954092205,0.19576199732255195,0,0
prefix,30,0.09256499470211565,0.30000000000000004,0.0,0.034190990845672786,0.2074350052978844,0,0
prefix,31,0.09089800005313009,0.30000000000000004,0.0,0.032962008845061064,0.20910199994686995,0,0
prefix,32,0.09405799210071564,0.30000000000000004,0.0,0.03303599078208208,0.2059420078992844,0,0
prefix,33,0.09220399078913033,0.30000000000000004,0.0,0.033674994483590126,0.20779600921086971,0,0
prefix,34,0.09212899021804333,0.30000000000000004,0.0,0.03381099668331444,0.20787100978195672,0,0
prefix,35,0.09212401346303523,0.30000000000000004,0.0,0.03391200152691454,0.20787598653696482,0,0
prefix,36,0.09174400474876165,0.30000000000000004,0.0,0.03378500696271658,0.2082559952512384,0,0
prefix,37,0.09143399074673653,0.30000000000000004,0.0,0.03282599209342152,0.20856600925326352,0,0
prefix,38,0.09190099081024528,0.30000000000000004,0.0,0.03370300692040473,0.20809900918975477,0,0
prefix,39,0.09161600610241294,0.30000000000000004,0.0,0.033406991860829294,0.2083839938975871,0,0
prefix,40,0.09189097909256816,0.30000000000000004,0.0,0.03300499520264566,0.20810902090743189,0,0
prefix,41,0.09253200551029295,0.30000000000000004,0.0,0.03448000643402338,0.2074679944897071,0,0
prefix,42,0.09080300515051931,0.30000000000000004,0.0,0.03311599721200764,0.20919699484948073,0,0
prefix,43,0.09155400039162487,0.30000000000000004,0.0,0.033611999242566526,0.20844599960837518,0,0
prefix,44,0.09304299601353705,0.30000000000000004,0.0,0.034828990465030074,0.206957003986463,0,0
prefix,45,0.09079700976144522,0.30000000000000004,0.0,0.03272001049481332,0.20920299023855482,0,0
prefix,46,0.09243201930075884,0.30000000000000004,0.0,0.03384701267350465,0.2075679806992412,0,0
prefix,47,0.15523600450251251,0.30000000000000004,0.0,0.061516009736806154,0.14476399549748753,0,0
prefix,48,0.14710199320688844,0.30000000000000004,0.0,0.05251800757832825,0.1528980067931116,0,0
prefix,49,0.1413870049873367,0.30000000000000004,0.0,0.053010007832199335,0.15861299501266335,0,0
prefix,50,0.13971400039736181,0.30000000000000004,0.0,0.05164000322110951,0.16028599960263823,0,0
rag,1,212.79999999999998,212.79999999999998,0.0,26.6,0.0,0,0
rag,2,26.84151998513844,27.3,0.0,0.051929004257544875,0.45848001486156065,0,0
rag,3,26.83577602405567,27.3,0.0,0.043342006392776966,0.46422397594433207,0,0
rag,4,26.835456987866202,27.3,0.0,0.04290200013201684,0.4645430121337988,0,0
rag,5,26.855417995504105,27.3,0.0,0.0428529892815277,0.4445820044958957,0,0
rag,6,26.83885698465165,27.3,0.0,0.04279299173504114,0.4611430153483518,0,0
rag,7,26.83561896523461,27.3,0.0,0.041755003621801734,0.46438103476539183,0,0
rag,8,26.838565975450912,27.3,0.0,0.04125598934479058,0.46143402454908866,0,0
rag,9,26.8330300048925,27.3,0.0,0.04112999886274338,0.46696999510750103,0,0
rag,10,26.842510999669322,27.3,0.0,0.04698699922300875,0.4574890003306784,0,0
rag,11,26.8342479856452,27.3,0.0,0.042764993850141764,0.46575201435480196,0,0
rag,12,26.814355997741224,27.3,0.0,0.037780002458021045,0.4856440022587769,0,0
rag,13,26.820058005652392,27.3,0.0,0.03775401273742318,0.47994199434760887,0,0
rag,14,26.83636399419047,27.3,0.0,0.04087299748789519,0.4636360058095299,0,0
rag,15,26.81488500351552,27.3,0.0,0.03931099490728229,0.4851149964844801,0,0
rag,16,26.81445701713674,27.3,0.0,0.037869001971557736,0.4855429828632616,0,0
rag,17,26.834600971452893,27.3,0.0,0.0421739969169721,0.46539902854710746,0,0
rag,18,26.815433989069426,27.3,0.0,0.03735900099854916,0.4845660109305747,0,0
rag,19,26.84842801212799,27.3,0.0,0.04848999378737062,0.45157198787201125,0,0
