episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,total_baseline_latency_ms,latency_reduction_pct,avg_ttft_ms,median_ttft_ms,p95_ttft_ms,tier_L1,tier_L2,tier_L3,tier_MISS,tier_L1_pct,tier_L2_pct,tier_L3_pct,tier_MISS_pct,latency_L1_ms,latency_L2_ms,latency_L3_ms,latency_MISS_ms
78,12.688941543801208,85.75,0.0,34,0,32.619,31.01,1630.962,1550.5,-5.19,2.566,0.076,8.655,343,0,0,57,85.8,0.0,0.0,14.2,17.142,0.0,0.0,1516.2
79,14.30769661479029,85.75,0.0,23,0,31.98,31.01,1599.019,1550.5,-3.13,1.928,0.076,8.607,343,0,0,57,85.8,0.0,0.0,14.2,16.969,0.0,0.0,1516.2
80,13.294294464906306,85.75,0.0,30,0,32.386,31.01,1619.279,1550.5,-4.44,2.332,0.075,13.086,343,0,0,57,85.8,0.0,0.0,14.2,17.062,0.0,0.0,1516.2
81,11.835864144814286,85.75,0.0,39,0,32.908,31.01,1645.377,1550.5,-6.12,2.851,0.075,15.93,343,0,0,57,85.8,0.0,0.0,14.2,17.337,0.0,0.0,1516.2
82,13.980532257004787,85.75,0.0,28,0,32.161,31.01,1608.064,1550.5,-3.71,2.115,0.073,8.931,343,0,0,57,85.8,0.0,0.0,14.2,16.639,0.0,0.0,1516.2
83,13.01975988045432,85.75,0.0,32,0,32.556,31.01,1627.812,1550.5,-4.99,2.503,0.071,11.552,343,0,0,57,85.8,0.0,0.0,14.2,17.074,0.0,0.0,1516.2
84,12.713352498012116,85.75,0.0,34,0,32.611,31.01,1630.547,1550.5,-5.16,2.557,0.07,10.249,343,0,0,57,85.8,0.0,0.0,14.2,17.117,0.0,0.0,1516.2
85,10.754209263503164,85.75,0.0,48,0,33.637,31.01,1681.83,1550.5,-8.47,3.583,0.078,14.743,343,0,0,57,85.8,0.0,0.0,14.2,17.236,0.0,0.0,1516.2
86,13.071628887165378,85.75,0.0,32,0,32.489,31.01,1624.438,1550.5,-4.77,2.436,0.074,11.482,343,0,0,57,85.8,0.0,0.0,14.2,17.022,0.0,0.0,1516.2
87,12.700483526331825,85.75,0.0,34,0,32.62,31.01,1631.0,1550.5,-5.19,2.567,0.075,8.724,343,0,0,57,85.8,0.0,0.0,14.2,17.13,0.0,0.0,1516.2
88,12.782033819799093,85.75,0.0,33,0,32.564,31.01,1628.179,1550.5,-5.01,2.509,0.07,8.789,343,0,0,57,85.8,0.0,0.0,14.2,17.18,0.0,0.0,1516.2
89,12.827476671641474,85.75,0.0,33,0,32.554,31.01,1627.681,1550.5,-4.98,2.499,0.071,11.454,343,0,0,57,85.8,0.0,0.0,14.2,17.134,0.0,0.0,1516.2
90,12.745311341477079,85.75,0.0,34,0,32.617,31.01,1630.848,1550.5,-5.18,2.564,0.074,10.28,343,0,0,57,85.8,0.0,0.0,14.2,17.085,0.0,0.0,1516.2
91,12.454820239930607,85.75,0.0,35,0,32.681,31.01,1634.054,1550.5,-5.39,2.625,0.076,10.416,343,0,0,57,85.8,0.0,0.0,14.2,17.244,0.0,0.0,1516.2
92,12.479909015153467,85.75,0.0,36,0,32.731,31.01,1636.562,1550.5,-5.55,2.679,0.071,11.62,343,0,0,57,85.8,0.0,0.0,14.2,17.088,0.0,0.0,1516.2
93,12.34235756767881,85.75,0.0,37,0,32.787,31.01,1639.328,1550.5,-5.73,2.734,0.071,13.113,343,0,0,57,85.8,0.0,0.0,14.2,17.094,0.0,0.0,1516.2
94,12.7040643452159,85.75,0.0,34,0,32.611,31.01,1630.529,1550.5,-5.16,2.557,0.072,10.219,343,0,0,57,85.8,0.0,0.0,14.2,17.126,0.0,0.0,1516.2
95,12.154699052189562,85.75,0.0,39,0,33.247,31.01,1662.338,1550.5,-7.21,3.196,0.071,11.501,343,0,0,57,85.8,0.0,0.0,14.2,17.018,0.0,0.0,1516.2
96,12.969619990518357,85.75,0.0,32,0,32.498,31.01,1624.882,1550.5,-4.8,2.444,0.066,8.675,343,0,0,57,85.8,0.0,0.0,14.2,17.124,0.0,0.0,1516.2
97,13.136792399861218,85.75,0.0,31,0,32.439,31.01,1621.947,1550.5,-4.61,2.385,0.07,8.679,343,0,0,57,85.8,0.0,0.0,14.2,17.088,0.0,0.0,1516.2
98,12.132271283841106,85.75,0.0,38,0,32.84,31.01,1641.996,1550.5,-5.9,2.785,0.069,10.222,343,0,0,57,85.8,0.0,0.0,14.2,17.172,0.0,0.0,1516.2
99,12.430615042601644,85.75,0.0,36,0,32.734,31.01,1636.681,1550.5,-5.56,2.68,0.066,8.665,343,0,0,57,85.8,0.0,0.0,14.2,17.137,0.0,0.0,1516.2
100,12.384373028678752,85.75,0.0,36,0,32.737,31.01,1636.856,1550.5,-5.57,2.683,0.07,8.663,343,0,0,57,85.8,0.0,0.0,14.2,17.183,0.0,0.0,1516.2
101,11.749323766784569,85.75,0.0,40,0,32.964,31.01,1648.201,1550.5,-6.3,2.909,0.07,8.791,343,0,0,57,85.8,0.0,0.0,14.2,17.292,0.0,0.0,1516.2
102,13.448491906418353,85.75,0.0,29,0,32.324,31.01,1616.189,1550.5,-4.24,2.27,0.067,8.983,343,0,0,57,85.8,0.0,0.0,14.2,17.039,0.0,0.0,1516.2
103,13.615912745904843,85.75,0.0,26,0,32.193,31.01,1609.663,1550.5,-3.82,2.139,0.075,6.163,343,0,0,57,85.8,0.0,0.0,14.2,17.266,0.0,0.0,1516.2
104,12.843271815195461,85.75,0.0,33,0,32.554,31.01,1627.721,1550.5,-4.98,2.5,0.069,10.215,343,0,0,57,85.8,0.0,0.0,14.2,17.119,0.0,0.0,1516.2
105,12.57336024324429,85.75,0.0,35,0,32.677,31.01,1633.831,1550.5,-5.37,2.624,0.073,10.297,343,0,0,57,85.8,0.0,0.0,14.2,17.126,0.0,0.0,1516.2
106,12.988564983435015,85.75,0.0,32,0,32.493,31.01,1624.626,1550.5,-4.78,2.439,0.068,8.659,343,0,0,57,85.8,0.0,0.0,14.2,17.105,0.0,0.0,1516.2
107,13.957999016221608,85.75,0.0,25,0,32.097,31.01,1604.87,1550.5,-3.51,2.044,0.067,5.862,343,0,0,57,85.8,0.0,0.0,14.2,17.056,0.0,0.0,1516.2
108,18.5277271840043,85.75,0.0,28,0,31.862,31.01,1593.106,1550.5,-2.75,1.891,0.055,8.604,343,0,0,57,85.8,0.0,0.0,14.2,12.091,0.0,0.0,1516.2
109,18.62768511916712,85.75,0.0,28,0,31.827,31.01,1591.333,1550.5,-2.63,1.856,0.051,6.899,343,0,0,57,85.8,0.0,0.0,14.2,11.992,0.0,0.0,1516.2
110,17.043014264269146,85.75,0.0,38,0,32.292,31.01,1614.619,1550.5,-4.14,2.318,0.058,10.496,343,0,0,57,85.8,0.0,0.0,14.2,12.262,0.0,0.0,1516.2
111,17.333388309750074,85.75,0.0,31,0,31.987,31.01,1599.375,1550.5,-3.15,2.004,0.063,9.038,343,0,0,57,85.8,0.0,0.0,14.2,12.891,0.0,0.0,1516.2
112,17.704808236579602,85.75,0.0,35,0,32.15,31.01,1607.497,1550.5,-3.68,2.179,0.049,7.026,343,0,0,57,85.8,0.0,0.0,14.2,11.994,0.0,0.0,1516.2
113,17.746777939005536,85.75,0.0,33,0,32.085,31.01,1604.251,1550.5,-3.47,2.113,0.054,9.251,343,0,0,57,85.8,0.0,0.0,14.2,12.215,0.0,0.0,1516.2
114,16.496917702553514,85.75,0.0,44,0,32.565,31.01,1628.265,1550.5,-5.02,2.595,0.051,11.254,343,0,0,57,85.8,0.0,0.0,14.2,12.019,0.0,0.0,1516.2
115,18.834393423267116,85.75,0.0,27,0,31.779,31.01,1588.956,1550.5,-2.48,1.809,0.051,6.807,343,0,0,57,85.8,0.0,0.0,14.2,11.916,0.0,0.0,1516.2
116,18.39804776969541,85.75,0.0,29,0,31.895,31.01,1594.77,1550.5,-2.86,1.924,0.049,6.845,343,0,0,57,85.8,0.0,0.0,14.2,12.09,0.0,0.0,1516.2
117,18.366885505422577,85.75,0.0,30,0,31.917,31.01,1595.867,1550.5,-2.93,1.948,0.054,6.748,343,0,0,57,85.8,0.0,0.0,14.2,11.989,0.0,0.0,1516.2
